,Dropped variable: 1,Dropped variable : 2,RMSE,R^2,MAE,RMSE %,R^2 %,MAE %,R^2_rank,RMSE_rank,MAE_rank,rank_sum
57,Fine Aggregate,Age,8.901843788505358,0.6924721441138071,6.791281553398059,1.0317312439230948,0.9738075876994802,0.9931226982193413,37.5,37.5,26.5,101.5
64,Age,Fine Aggregate,8.901843788505358,0.6924721441138071,6.791281553398059,1.0317312439230948,0.9738075876994802,0.9931226982193413,37.5,37.5,26.5,101.5
7,Age, ,8.86796333816228,0.6948085936796435,6.948009708737864,1.027804470997437,0.9770932827773673,1.016041831713391,35.0,35.0,36.0,106.0
21,Blast Furnace Slag,Fine Aggregate,9.042147640973631,0.682701725495426,7.02152427184466,1.047992579402966,0.9600676735867529,1.0267922299551642,39.5,39.5,39.5,118.5
52,Fine Aggregate,Blast Furnace Slag,9.042147640973631,0.682701725495426,7.02152427184466,1.047992579402966,0.9600676735867529,1.0267922299551642,39.5,39.5,39.5,118.5
50,Coarse Aggregate,Age,9.137430884282987,0.6759793175427694,7.158417475728156,1.0590359881034792,0.9506141064973707,1.0468108003736802,41.5,41.5,43.5,126.5
63,Age,Coarse Aggregate,9.137430884282987,0.6759793175427694,7.158417475728156,1.0590359881034792,0.9506141064973707,1.0468108003736802,41.5,41.5,43.5,126.5
29,Fly Ash,Age,9.438178020651792,0.6542988281132825,7.103825242718446,1.0938928362446207,0.9201253347959593,1.0388275080713172,45.5,45.5,41.5,132.5
61,Age,Water,9.312025026657059,0.6634785190524803,7.215533980582523,1.079271597261875,0.9330345222128293,1.055163229435533,43.5,43.5,45.5,132.5
60,Age,Fly Ash,9.438178020651792,0.6542988281132825,7.103825242718446,1.0938928362446207,0.9201253347959593,1.0388275080713172,45.5,45.5,41.5,132.5
36,Water,Age,9.312025026657059,0.6634785190524803,7.215533980582523,1.079271597261875,0.9330345222128293,1.055163229435533,43.5,43.5,45.5,132.5
22,Blast Furnace Slag,Age,9.705254788250247,0.634457056238573,7.4648834951456315,1.1248472600925346,0.8922223091374734,1.091626842489345,47.5,47.5,47.5,142.5
59,Age,Blast Furnace Slag,9.705254788250247,0.634457056238573,7.4648834951456315,1.1248472600925346,0.8922223091374734,1.091626842489345,47.5,47.5,47.5,142.5
62,Age,Superplasticizer,9.749578061071773,0.6311106100381543,7.505621359223302,1.1299843649990422,0.8875162791122999,1.0975841418848127,49.5,49.5,49.5,148.5
43,Superplasticizer,Age,9.749578061071773,0.6311106100381543,7.505621359223302,1.1299843649990422,0.8875162791122999,1.0975841418848127,49.5,49.5,49.5,148.5
0,Cement, ,11.612946442137808,0.4766293446635811,9.443601941747573,1.3459503405160105,0.6702728424514708,1.3809846297132378,51.0,51.0,51.0,153.0
44,Coarse Aggregate,Cement,11.62004727193232,0.4759891105658045,9.55609708737864,1.3467733327107554,0.6693724960222052,1.3974353513756026,52.5,52.5,52.5,157.5
13,Cement,Coarse Aggregate,11.62004727193232,0.4759891105658045,9.55609708737864,1.3467733327107554,0.6693724960222052,1.3974353513756026,52.5,52.5,52.5,157.5
15,Cement,Age,11.818198481969379,0.45796531076505886,9.749485436893204,1.3697392259878747,0.6440260425159716,1.4257154864228663,54.5,54.5,54.5,163.5
58,Age,Cement,11.818198481969379,0.45796531076505886,9.749485436893204,1.3697392259878747,0.6440260425159716,1.4257154864228663,54.5,54.5,54.5,163.5
51,Fine Aggregate,Cement,12.03428381144341,0.43796285184113537,9.77552427184466,1.394783698916017,0.6158970463702976,1.429523274072686,56.5,56.5,56.5,169.5
14,Cement,Fine Aggregate,12.03428381144341,0.43796285184113537,9.77552427184466,1.394783698916017,0.6158970463702976,1.429523274072686,56.5,56.5,56.5,169.5
10,Cement,Fly Ash,12.477204650999061,0.3958300518655278,9.996844660194176,1.446118599820961,0.5566466625735914,1.4618880493393875,58.5,58.5,58.5,175.5
23,Fly Ash,Cement,12.477204650999061,0.3958300518655278,9.996844660194176,1.446118599820961,0.5566466625735914,1.4618880493393875,58.5,58.5,58.5,175.5
9,Cement,Blast Furnace Slag,12.54716115650782,0.38903620568544317,10.13149514563107,1.4542266181331067,0.5470926335544224,1.481578655944664,60.5,60.5,62.5,183.5
16,Blast Furnace Slag,Cement,12.54716115650782,0.38903620568544317,10.13149514563107,1.4542266181331067,0.5470926335544224,1.481578655944664,60.5,60.5,62.5,183.5
12,Cement,Superplasticizer,12.563562800137934,0.3874378584737198,10.069776699029127,1.4561275825385631,0.5448449147749956,1.4725532621751245,64.5,64.5,60.5,189.5
11,Cement,Water,12.55781251126012,0.38799846428746765,10.167864077669902,1.4554611191813331,0.545633281786978,1.4868970647948594,62.5,62.5,64.5,189.5
30,Water,Cement,12.55781251126012,0.38799846428746765,10.167864077669902,1.4554611191813331,0.545633281786978,1.4868970647948594,62.5,62.5,64.5,189.5
37,Superplasticizer,Cement,12.563562800137934,0.3874378584737198,10.069776699029127,1.4561275825385631,0.5448449147749956,1.4725532621751245,64.5,64.5,60.5,189.5
